Step,Value
1377,0.9893
1378,0.9898
1379,0.9894
1380,0.9891
1381,0.9893
1382,0.9899
1383,0.9897
1384,0.9891
1385,0.9901
1386,0.9897
1387,0.99
1388,0.9904
1389,0.9907
1390,0.99
1391,0.9901
1392,0.9899
1393,0.9894
1394,0.99
1395,0.9899
1396,0.9903
1397,0.9906
1398,0.9893
1399,0.9899
1400,0.9888
1401,0.989
1402,0.9896
1403,0.9901
1404,0.9894
1405,0.9899
1406,0.9895
1407,0.989
1408,0.9887
1409,0.9903
1410,0.9902
1411,0.9896
1412,0.9898
1413,0.9891
1414,0.9705
1415,0.9519
1416,0.9856
1417,0.9873
1418,0.9883
1419,0.9891
1420,0.9891
1421,0.99
1422,0.9897
1423,0.9894
1424,0.9894
1425,0.9896
1426,0.9894
1427,0.9894
1428,0.9896
1429,0.9904
1430,0.9901
1431,0.9902
1432,0.9902
1433,0.9897
1434,0.9898
1435,0.9903
1436,0.9901
1437,0.9907
1438,0.9906
1439,0.9903
1440,0.9903
1441,0.9901
1442,0.9897
1443,0.99
1444,0.9902
1445,0.9905
1446,0.9902
1447,0.9904
1448,0.9904
1449,0.9902
1450,0.9907
1451,0.9904
1452,0.9903
1453,0.9902
1454,0.9899
1455,0.99
1456,0.99
1457,0.9898
1458,0.99
1459,0.99
1460,0.9902
1461,0.9897
1462,0.9897
1463,0.9896
1464,0.9901
1465,0.9901
1466,0.9901
1467,0.9899
1468,0.99
1469,0.9904
1470,0.9905
1471,0.9905
1472,0.9906
1473,0.9899
1474,0.9904
1475,0.9899
1476,0.9901
1477,0.9905
1478,0.9897
1479,0.9903
1480,0.9904
1481,0.99
1482,0.99
1483,0.9905
1484,0.9902
1485,0.9899
1486,0.9901
1487,0.9901
1488,0.9902
1489,0.99
1490,0.9899
1491,0.99
1492,0.9904
1493,0.9903
1494,0.9898
1495,0.9903
1496,0.9902
1497,0.9902
1498,0.9902
1499,0.9899
1500,0.9899
