Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
226,0.2469,2.1802,0.5443,,,,,,,,,,
227,0.2001,2.213,0.5403,,,,,,,,,,
228,0.2009,2.1999,0.539,,,,,,,,,,
229,0.2086,2.2136,0.5418,,,,,,,,,,
230,0.2462,2.1872,0.5416,,,,,,,,,,
231,0.2108,2.2113,0.5411,,,,,,,,,,
232,0.2358,2.208,0.5436,,,,,,,,,,
233,0.2016,2.2403,0.5441,,,,,,,,,,
234,0.2073,2.2444,0.5436,,,,,,,,,,
235,0.2027,2.2376,0.5424,,,,,,,,,,
236,0.2178,2.2273,0.5423,,,,,,,,,,
237,0.245,2.2135,0.5405,,,,,,,,,,
238,0.2446,2.2045,0.54,,,,,,,,,,
239,0.2526,2.177,0.5381,,,,,,,,,,
240,0.2146,2.201,0.5394,,,,,,,,,,
241,0.2308,2.2335,0.5385,,,,,,,,,,
242,0.2398,2.2122,0.5395,,,,,,,,,,
243,0.2095,2.2437,0.538,,,,,,,,,,
244,0.2157,2.2452,0.5419,,,,,,,,,,
245,0.2391,2.2465,0.5411,,,,,,,,,,
246,0.233,2.2428,0.5408,,,,,,,,,,
247,0.221,2.2336,0.5378,,,,,,,,,,
248,0.2472,2.2341,0.5377,,,,,,,,,,
249,0.2294,2.2373,0.5393,,,,,,,,,,
250,0.2118,2.2704,0.5395,,,,,,,,,,
251,0.1874,2.2718,0.5434,,,,,,,,,,
252,0.2577,2.2495,0.5405,,,,,,,,,,
253,0.235,2.2418,0.5401,,,,,,,,,,
254,0.212,2.2574,0.5372,,,,,,,,,,
255,0.2067,2.2811,0.5355,,,,,,,,,,
256,0.227,2.267,0.5379,,,,,,,,,,
257,0.2189,2.2862,0.537,,,,,,,,,,
258,0.2395,2.2806,0.5388,,,,,,,,,,
259,0.2467,2.2596,0.5385,,,,,,,,,,
260,0.2339,2.2586,0.5378,,,,,,,,,,
261,0.2142,2.2722,0.5391,,,,,,,,,,
262,0.1955,2.2837,0.5393,,,,,,,,,,
263,0.2167,2.2882,0.5385,,,,,,,,,,
264,0.2191,2.2944,0.5389,,,,,,,,,,
265,0.2334,2.2711,0.5369,,,,,,,,,,
266,0.2103,2.2743,0.5353,,,,,,,,,,
267,0.2206,2.2905,0.5374,,,,,,,,,,
268,0.2245,2.2757,0.5395,,,,,,,,,,
269,0.2293,2.288,0.5387,,,,,,,,,,
270,0.2301,2.3007,0.5377,,,,,,,,,,
271,0.2208,2.3032,0.5361,,,,,,,,,,
272,0.2564,2.2985,0.536,,,,,,,,,,
273,0.21,2.3004,0.5364,,,,,,,,,,
274,0.2452,2.2993,0.534,,,,,,,,,,
275,0.2092,2.3207,0.5381,,,,,,,,,,
276,0.2308,2.297,0.5354,,,,,,,,,,
277,0.2283,2.2994,0.5364,,,,,,,,,,
278,0.2416,2.3171,0.536,,,,,,,,,,
279,0.2181,2.3166,0.5362,,,,,,,,,,
280,0.2401,2.336,0.5339,,,,,,,,,,
281,0.1963,2.3293,0.5381,,,,,,,,,,
282,0.2466,2.3249,0.5356,,,,,,,,,,
283,0.2351,2.3289,0.5371,,,,,,,,,,
284,0.1999,2.3315,0.5366,,,,,,,,,,
285,0.2294,2.3373,0.5373,,,,,,,,,,
286,0.193,2.3592,0.539,,,,,,,,,,
287,0.2292,2.3547,0.5383,,,,,,,,,,
288,0.2502,2.3357,0.5361,,,,,,,,,,
289,0.2227,2.3325,0.536,,,,,,,,,,
290,0.2039,2.349,0.5353,,,,,,,,,,
291,0.1993,2.3644,0.5306,,,,,,,,,,
292,0.2346,2.3644,0.5342,,,,,,,,,,
293,0.2231,2.3552,0.532,,,,,,,,,,
294,0.2268,2.3553,0.5344,,,,,,,,,,
295,0.2289,2.3746,0.5322,,,,,,,,,,
296,0.263,2.3482,0.5302,,,,,,,,,,
297,0.2356,2.3465,0.5326,,,,,,,,,,
298,0.2005,2.3707,0.5329,,,,,,,,,,
299,0.2269,2.3748,0.5323,,,,,,,,,,
300,0.2265,2.3771,0.5355,,,,,,,,,,
301,0.2417,2.3692,0.5338,,,,,,,,,,
302,0.2141,2.3851,0.536,,,,,,,,,,
303,0.2308,2.383,0.5344,,,,,,,,,,
304,0.2304,2.3616,0.5324,,,,,,,,,,
305,0.1886,2.3958,0.5333,,,,,,,,,,
306,0.2174,2.3947,0.5335,,,,,,,,,,
307,0.2469,2.3945,0.5349,,,,,,,,,,
308,0.2232,2.382,0.5342,,,,,,,,,,
309,0.2112,2.3981,0.5338,,,,,,,,,,
310,0.2388,2.3968,0.5324,,,,,,,,,,
311,0.2564,2.4045,0.53,,,,,,,,,,
312,0.2085,2.4262,0.532,,,,,,,,,,
313,0.2211,2.4155,0.5308,,,,,,,,,,
314,0.2131,2.426,0.5315,,,,,,,,,,
315,0.2362,2.4079,0.5341,,,,,,,,,,
316,0.2496,2.3937,0.5357,,,,,,,,,,
317,0.2086,2.4126,0.5356,,,,,,,,,,
318,0.2175,2.4215,0.533,,,,,,,,,,
319,0.2545,2.418,0.532,,,,,,,,,,
320,0.2232,2.4209,0.5307,,,,,,,,,,
321,0.2428,2.4213,0.5329,,,,,,,,,,
322,0.2309,2.4237,0.5316,,,,,,,,,,
323,0.2466,2.416,0.5316,,,,,,,,,,
324,0.2332,2.4274,0.5317,,,,,,,,,,
325,0.2124,2.4293,0.5307,,,,,,,,,,
326,0.2468,2.4178,0.5312,,,,,,,,,,
327,0.2162,2.4279,0.5312,,,,,,,,,,
328,0.2505,2.4216,0.5318,,,,,,,,,,
329,0.2455,2.4186,0.5279,,,,,,,,,,
330,0.2181,2.4315,0.532,,,,,,,,,,
331,0.2074,2.4474,0.5281,,,,,,,,,,
332,0.2381,2.4478,0.5283,,,,,,,,,,
333,0.2379,2.4526,0.5299,,,,,,,,,,
334,0.2337,2.4326,0.5322,,,,,,,,,,
335,0.2219,2.4371,0.5306,,,,,,,,,,
336,0.2099,2.4408,0.5296,,,,,,,,,,
337,0.263,2.4296,0.529,,,,,,,,,,
338,0.2562,2.4498,0.5296,,,,,,,,,,
339,0.2235,2.4408,0.5302,,,,,,,,,,
340,0.2429,2.4583,0.5303,,,,,,,,,,
341,0.2494,2.4473,0.5328,,,,,,,,,,
342,0.2556,2.4423,0.5331,,,,,,,,,,
343,0.2095,2.4651,0.531,,,,,,,,,,
344,0.2594,2.4382,0.5297,,,,,,,,,,
345,0.2183,2.4504,0.5304,,,,,,,,,,
346,0.267,2.4424,0.5274,,,,,,,,,,
347,0.2481,2.4372,0.5301,,,,,,,,,,
348,0.2467,2.4451,0.5318,,,,,,,,,,
349,0.2548,2.4445,0.5315,,,,,,,,,,
350,0.2153,2.4556,0.5297,,,,,,,,,,
351,0.2689,2.4396,0.5323,,,,,,,,,,
352,0.2369,2.4605,0.5334,,,,,,,,,,
353,0.2434,2.4464,0.5323,,,,,,,,,,
354,0.2675,2.4384,0.5319,,,,,,,,,,
355,0.2288,2.4412,0.5326,,,,,,,,,,
356,0.2637,2.447,0.5308,,,,,,,,,,
357,0.2434,2.4683,0.5323,,,,,,,,,,
358,0.2113,2.4682,0.5308,,,,,,,,,,
359,0.2441,2.4681,0.5326,,,,,,,,,,
360,0.2339,2.4829,0.5312,,,,,,,,,,
361,0.2645,2.4738,0.5307,,,,,,,,,,
362,0.2273,2.4692,0.5329,,,,,,,,,,
363,0.2686,2.4604,0.5313,,,,,,,,,,
364,0.2395,2.4806,0.5313,,,,,,,,,,
365,0.274,2.48,0.5331,,,,,,,,,,
366,0.2358,2.4883,0.5305,,,,,,,,,,
367,0.2313,2.4992,0.5312,,,,,,,,,,
368,0.2715,2.4707,0.5297,,,,,,,,,,
369,0.2737,2.4773,0.5305,,,,,,,,,,
370,0.2727,2.4831,0.5263,,,,,,,,,,
371,0.2573,2.4762,0.5292,,,,,,,,,,
372,0.26,2.4761,0.5309,,,,,,,,,,
373,0.2721,2.4707,0.5254,,,,,,,,,,
374,0.2643,2.4627,0.5281,,,,,,,,,,
375,0.2883,2.4495,0.5306,,,,,,,,,,
376,0.2737,2.4523,0.527,,,,,,,,,,
377,0.2628,2.4675,0.5285,,,,,,,,,,
378,0.2876,2.4799,0.5264,,,,,,,,,,
379,0.2852,2.4709,0.5266,,,,,,,,,,
380,0.2508,2.4796,0.5297,,,,,,,,,,
381,0.2264,2.489,0.5291,,,,,,,,,,
382,0.2537,2.4768,0.5285,,,,,,,,,,
383,0.2598,2.4888,0.5301,,,,,,,,,,
384,0.2652,2.4835,0.5303,,,,,,,,,,
385,0.2784,2.4832,0.5313,,,,,,,,,,
386,0.2502,2.4854,0.5266,,,,,,,,,,
387,0.2732,2.477,0.5262,,,,,,,,,,
388,0.2814,2.4738,0.5277,,,,,,,,,,
389,0.2384,2.4923,0.5288,,,,,,,,,,
390,0.2882,2.5034,0.5289,,,,,,,,,,
391,0.2811,2.4793,0.5289,,,,,,,,,,
392,0.2525,2.4883,0.5281,,,,,,,,,,
393,0.2758,2.4946,0.5291,,,,,,,,,,
394,0.2882,2.5112,0.5289,,,,,,,,,,
395,0.2658,2.507,0.53,,,,,,,,,,
396,0.2619,2.4966,0.527,,,,,,,,,,
397,0.2948,2.4836,0.5266,,,,,,,,,,
398,0.2512,2.493,0.5291,,,,,,,,,,
399,0.2658,2.5119,0.531,,,,,,,,,,
400,0.2963,2.497,0.5284,,,,,,,,,,
401,0.2483,2.5044,0.5299,,,,,,,,,,
402,0.3031,2.4993,0.5282,,,,,,,,,,
403,0.2407,2.5129,0.5287,,,,,,,,,,
404,0.2844,2.5044,0.5292,,,,,,,,,,
405,0.2313,2.5247,0.5289,,,,,,,,,,
406,0.2639,2.5079,0.5283,,,,,,,,,,
407,0.276,2.5168,0.5278,,,,,,,,,,
408,0.2538,2.5291,0.5308,,,,,,,,,,
409,0.2992,2.5204,0.5293,,,,,,,,,,
410,0.2538,2.5231,0.5277,,,,,,,,,,
411,0.2754,2.5184,0.5298,,,,,,,,,,
412,0.2482,2.5169,0.5294,,,,,,,,,,
413,0.275,2.5146,0.528,,,,,,,,,,
414,0.3145,2.5111,0.5285,,,,,,,,,,
415,0.2827,2.4949,0.5295,,,,,,,,,,
416,0.2792,2.5107,0.5305,,,,,,,,,,
417,0.2991,2.5094,0.5292,,,,,,,,,,
418,0.3002,2.5215,0.5292,,,,,,,,,,
419,0.2788,2.52,0.5286,,,,,,,,,,
420,0.2842,2.5145,0.528,,,,,,,,,,
421,0.3074,2.4976,0.5299,,,,,,,,,,
422,0.3058,2.5109,0.5305,,,,,,,,,,
423,0.3167,2.5031,0.5301,,,,,,,,,,
424,0.3288,2.506,0.5284,,,,,,,,,,
425,0.3038,2.5122,0.5291,,,,,,,,,,
426,0.3008,2.4975,0.5277,,,,,,,,,,
427,0.2523,2.5153,0.5304,,,,,,,,,,
428,0.3209,2.4997,0.5278,,,,,,,,,,
429,0.3222,2.5018,0.5304,,,,,,,,,,
430,0.298,2.4989,0.529,,,,,,,,,,
431,0.2836,2.5096,0.529,,,,,,,,,,
432,0.322,2.5049,0.5285,,,,,,,,,,
433,0.3035,2.505,0.5284,,,,,,,,,,
434,0.2716,2.5101,0.5283,,,,,,,,,,
435,0.3291,2.496,0.5286,,,,,,,,,,
436,0.2966,2.5037,0.528,,,,,,,,,,
437,0.3184,2.5008,0.5312,,,,,,,,,,
438,0.3091,2.5017,0.5284,,,,,,,,,,
439,0.3285,2.5089,0.5265,,,,,,,,,,
440,0.3035,2.5003,0.529,,,,,,,,,,
441,0.2618,2.5094,0.5281,,,,,,,,,,
442,0.3272,2.4994,0.5291,,,,,,,,,,
443,0.2906,2.5134,0.5252,,,,,,,,,,
444,0.2873,2.5077,0.5266,,,,,,,,,,
445,0.2978,2.5063,0.5262,,,,,,,,,,
446,0.2834,2.4968,0.5271,,,,,,,,,,
447,0.3238,2.5127,0.5265,,,,,,,,,,
448,0.3418,2.5131,0.5283,,,,,,,,,,
