Wall time,Step,Value
1621241536.7940485,3431,0.673799991607666
1621241615.061575,3450,0.6523000001907349
1621241676.4292805,3465,0.6776000261306763
1621241740.7352724,3481,0.6207000017166138
1621241858.5428467,3510,0.6643000245094299
1621241870.9073188,3513,0.6134999990463257
1621241975.089439,3538,0.6761999726295471
1621242237.211627,3601,0.6800000071525574
1621242311.6171167,3619,0.6741999983787537
1621242319.5461748,3621,0.6717000007629395
1621242327.6140137,3623,0.6660000085830688
1621242351.8145132,3629,0.638700008392334
1621242464.9119768,3657,0.6650000214576721
1621242521.3031213,3671,0.6608999967575073
1621242752.0523505,3727,0.6743000149726868
1621242768.795098,3731,0.6625000238418579
1621242814.587271,3742,0.6814000010490417
1621243028.720087,3794,0.6790000200271606
1621243113.5895748,3815,0.6761000156402588
1621243133.780467,3820,0.675000011920929
1621243141.7867491,3822,0.6866999864578247
1621243183.0281148,3832,0.6895999908447266
1621243318.529185,3865,0.6718999743461609
1621243366.986989,3877,0.694599986076355
1621243576.4679356,3929,0.6894000172615051
1621243690.2921128,3957,0.6947000026702881
1621243807.435039,3985,0.6772000193595886
1621243965.3985088,4023,0.6790000200271606
1621244009.9040234,4034,0.6708999872207642
1621244023.0456474,4037,0.6812000274658203
1621244254.8803153,4094,0.6948000192642212
1621244275.5685322,4099,0.697700023651123
1621244321.0873668,4110,0.6984000205993652
1621244620.164093,4183,0.6241999864578247
1621244669.1590867,4195,0.7067999839782715
1621244677.455435,4197,0.7088000178337097
1621244698.0140069,4202,0.6794000267982483
1621244702.0857582,4203,0.6974999904632568
1621244803.8953896,4228,0.6862000226974487
1621244824.2872403,4233,0.707099974155426
1621244836.320675,4236,0.6974999904632568
1621244868.497967,4244,0.6980999708175659
1621244948.2891886,4264,0.6960999965667725
1621244960.0416298,4267,0.6899999976158142
1621245023.3913238,4283,0.6826000213623047
1621245111.095934,4305,0.6969000101089478
1621245162.9149225,4318,0.6870999932289124
1621245170.591016,4320,0.694100022315979
1621245369.390454,4370,0.6987000107765198
1621245467.261124,4394,0.701200008392334
1621245495.5578516,4401,0.6935999989509583
1621245519.8023412,4407,0.6736999750137329
1621245616.326881,4431,0.6976000070571899
1621245627.9689088,4434,0.6657000184059143
1621245862.7967043,4493,0.7016000151634216
1621245931.9851823,4510,0.6962000131607056
1621246017.6087294,4531,0.6901000142097473
1621246208.628241,4579,0.7135999798774719
1621246220.4092603,4582,0.7049000263214111
1621246409.884773,4629,0.7114999890327454
1621246523.9360635,4657,0.6987000107765198
1621246555.8734376,4665,0.6980999708175659
1621246571.9740663,4669,0.7088000178337097
1621246603.7614682,4677,0.7177000045776367
1621246753.032736,4714,0.6960999965667725
1621246773.3437166,4719,0.6789000034332275
1621246903.9175112,4751,0.6888999938964844
1621246936.7335098,4759,0.6794000267982483
1621246972.4460874,4768,0.7064999938011169
1621247056.503181,4789,0.7098000049591064
1621247103.5142615,4801,0.6888999938964844
1621247111.548483,4803,0.7059000134468079
1621247263.2862842,4841,0.6980000138282776
1621247311.662432,4853,0.7128999829292297
1621247481.3321915,4895,0.7070000171661377
1621247757.9395516,4963,0.7167999744415283
1621247794.3108425,4972,0.7200999855995178
1621247806.6673603,4975,0.7003999948501587
1621248111.3735638,5051,0.7268000245094299
1621248119.12413,5053,0.7196999788284302
1621248123.045242,5054,0.7034000158309937
1621248337.2782001,5107,0.7285000085830688
1621248449.751595,5135,0.718999981880188
1621248717.1580098,5201,0.7260000109672546
1621248863.880041,5240,0.6944000124931335
1621249172.259503,5330,0.722000002861023
1621249227.0729942,5346,0.671999990940094
1621249275.0599756,5360,0.7296000123023987
1621249483.8303652,5421,0.7049000263214111
1621249559.2410944,5443,0.7135000228881836
1621249740.6299524,5496,0.7110000252723694
1621249808.9843817,5516,0.7318999767303467
1621249815.8619375,5518,0.7243000268936157
1621249924.9947205,5550,0.703000009059906
1621250007.3652825,5574,0.7229999899864197
1621250055.5196521,5588,0.7181000113487244
1621250202.5779178,5631,0.7239000201225281
1621250298.7234604,5659,0.7328000068664551
1621250305.5487185,5661,0.7182999849319458
1621250319.2319174,5665,0.7235999703407288
1621250370.5533063,5680,0.7008000016212463
1621250510.454088,5721,0.7211999893188477
1621250520.6613266,5724,0.7340999841690063
1621250701.9357893,5777,0.7228999733924866
1621250808.0990927,5808,0.7296000123023987
1621250811.5404658,5809,0.7196000218391418
1621250869.9280388,5826,0.7161999940872192
1621250880.182119,5829,0.7285000085830688
1621250996.5035996,5863,0.7430999875068665
1621251003.3166144,5865,0.7192000150680542
1621251027.259936,5872,0.7343999743461609
1621251150.5582993,5908,0.7102000117301941
1621251222.478101,5929,0.7445999979972839
1621251304.7148614,5953,0.7400000095367432
1621251321.7690732,5958,0.7383999824523926
1621251342.1793325,5964,0.7296000123023987
1621251434.7279234,5991,0.741599977016449
1621251503.3056972,6011,0.7164999842643738
1621251520.4090178,6016,0.705299973487854
1621251571.9659553,6031,0.7373999953269958
1621251589.2076666,6036,0.7450000047683716
1621251736.0562944,6079,0.7084000110626221
1621251821.6456983,6104,0.7329999804496765
1621251828.4562762,6106,0.7450000047683716
1621251883.0454,6122,0.7056999802589417
1621251917.2161505,6132,0.7419999837875366
1621252088.5258589,6182,0.742900013923645
1621252153.3808155,6201,0.734499990940094
1621252198.1092186,6214,0.7254999876022339
1621252218.6484609,6220,0.7333999872207642
1621252263.1881025,6233,0.7290999889373779
1621252457.8644607,6290,0.7461000084877014
1621252536.7234282,6313,0.7343999743461609
1621252553.81908,6318,0.7239999771118164
1621252635.8575625,6342,0.7429999709129333
1621252673.4154928,6353,0.7427999973297119
1621252710.9591446,6364,0.727400004863739
1621252755.3552203,6377,0.7443000078201294
1621252837.8736477,6401,0.7340999841690063
1621253163.001436,6496,0.6991000175476074
1621253166.4744294,6497,0.729200005531311
1621253180.1773455,6501,0.7421000003814697
1621253248.6677406,6521,0.7422000169754028
1621253435.6830773,6575,0.7416999936103821
1621253469.8878272,6585,0.7450000047683716
1621253534.9539032,6604,0.7396000027656555
1621253719.6272845,6658,0.7461000084877014
1621253750.5037074,6667,0.7416999936103821
1621253771.197177,6673,0.7408000230789185
1621253791.6042562,6679,0.7386000156402588
1621253801.848057,6682,0.7314000129699707
1621253825.7318878,6689,0.6852999925613403
1621253853.1647627,6697,0.7426999807357788
1621253863.4151027,6700,0.7208999991416931
1621253904.4850519,6712,0.7483000159263611
1621253996.9268296,6739,0.7400000095367432
1621254010.5320468,6743,0.7451000213623047
1621254047.9147375,6754,0.7530999779701233
1621254318.1985564,6833,0.7299000024795532
1621254366.288501,6847,0.7414000034332275
1621254393.6021965,6855,0.746399998664856
1621254445.169133,6870,0.7350999712944031
1621254667.4087458,6935,0.7246000170707703
1621254766.545919,6964,0.7577999830245972
1621254776.7654934,6967,0.7283999919891357
1621254865.5118632,6993,0.7444999814033508
1621254940.7223952,7015,0.7508999705314636
1621255203.8369062,7092,0.7418000102043152
1621255254.917869,7107,0.754800021648407
1621255282.3110147,7115,0.7384999990463257
1621255361.1806343,7138,0.7613999843597412
1621255422.579837,7156,0.7383000254631042
1621255559.3657236,7196,0.7516000270843506
1621255631.292192,7217,0.7433000206947327
1621255737.332897,7248,0.7454000115394592
1621255918.7638772,7301,0.724399983882904
1621255956.3588147,7312,0.7468000054359436
1621256018.234502,7330,0.7494000196456909
1621256052.7266788,7340,0.7569000124931335
1621256056.1886384,7341,0.7509999871253967
1621256121.20812,7360,0.7415000200271606
1621256199.8970509,7383,0.7591000199317932
1621256265.1148503,7402,0.746999979019165
1621256398.6409447,7441,0.7531999945640564
1621256408.9083426,7444,0.7520999908447266
1621256432.7962627,7451,0.7511000037193298
1621256467.0073154,7461,0.7465000152587891
1621256477.2350225,7464,0.7383999824523926
1621256528.5706632,7479,0.7347000241279602
1621256641.1668925,7512,0.7537000179290771
1621256706.3155723,7531,0.7440000176429749
1621256976.8118002,7610,0.7430999875068665
1621257096.9002953,7645,0.7491000294685364
1621257155.247613,7662,0.7587000131607056
1621257206.6854336,7677,0.7531999945640564
1621257244.1125126,7688,0.7566999793052673
1621257264.6336668,7694,0.7555000185966492
1621257350.2527473,7719,0.7495999932289124
1621257367.493536,7724,0.7547000050544739
1621257384.6247277,7729,0.7505999803543091
1621257446.1129575,7747,0.7520999908447266
1621257483.7059588,7758,0.7398999929428101
1621257494.0480337,7761,0.7411999702453613
1621257562.4347923,7781,0.7336000204086304
1621257589.7180982,7789,0.7285000085830688
1621257623.907083,7799,0.748199999332428
1621257743.7923212,7834,0.7318000197410583
1621257760.8662088,7839,0.7508000135421753
1621257969.484766,7900,0.7516000270843506
1621257972.9167328,7901,0.7631000280380249
1621258082.281585,7933,0.7682999968528748
1621258256.768842,7984,0.7591999769210815
1621258284.2565324,7992,0.7386000156402588
1621258403.769504,8027,0.7601000070571899
1621258441.387045,8038,0.7534999847412109
1621258482.4092953,8050,0.7639999985694885
1621258540.5870197,8067,0.7470999956130981
1621258746.279097,8127,0.7617999911308289
1621258930.8675637,8181,0.751800000667572
1621258944.4821265,8185,0.7319999933242798
1621258992.4448946,8199,0.7674999833106995
1621259050.5641103,8216,0.7728999853134155
1621259071.1363416,8222,0.7627000212669373
1621259214.7121727,8264,0.756600022315979
1621259269.6642206,8280,0.7541999816894531
1621259307.3665283,8291,0.7678999900817871
1621259365.5701852,8308,0.7587000131607056
1621259433.897641,8328,0.7372999787330627
1621259451.0036347,8333,0.7678999900817871
1621259457.7700605,8335,0.7487000226974487
1621259478.304413,8341,0.7620999813079834
1621259546.7547853,8361,0.7657999992370605
1621259557.1636844,8364,0.7681999802589417
1621259574.2584472,8369,0.7465000152587891
1621259605.1077933,8378,0.7537999749183655
1621259913.527539,8468,0.7577999830245972
1621259916.9421697,8469,0.7639999985694885
1621259923.826609,8471,0.7491000294685364
1621260019.4543483,8499,0.7709000110626221
1621260036.6346684,8504,0.7699999809265137
1621260053.8495512,8509,0.7494000196456909
1621260252.6627548,8567,0.7422000169754028
1621260341.7169092,8593,0.7519999742507935
1621260372.386753,8602,0.7694000005722046
1621260485.311455,8635,0.7718999981880188
1621260488.784484,8636,0.7688000202178955
1621260519.6444187,8645,0.7656999826431274
